Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,4.7uF,
"C10, C16, C3",0805,3,1uF,
"C11, C13, C14, C15, C17, C19, C20, C27, C4, C5, C6, C7, C8, C9",0805,14,100Nf,
C12,CP_Radial_D8.0mm_P3.50mm,1,1000uF,
C18,CP_Radial_D8.0mm_P3.50mm,1,470uF,
"C21, C22",0805,2,33pF,
"C23, C25",0805,2,2.2uF,
"C24, C26",0805,2,15pF,
"D1, D2, D3, D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
D5,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4001,
D6,0805,1,LED,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Input Power,
J10,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M9,
J11,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M10,
J12,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M11,
J13,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M12,
J14,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Video In,
J15,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LED Strip,
J16,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Video Out,
J17,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C4,
J18,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,UART2,
J19,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,UART7,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M1,
J20,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,SWD,
J21,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART5,
J22,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART8,
J23,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART3,
J24,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UART4,
J25,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J26,TF-SMD_TF-PUSH,1,Micro_SD_Card,
J27,JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical,1,GPIO,
J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M2,
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M3,
J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M4,
J6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M5,
J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M6,
J8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M7,
J9,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,M8,
"R1, R10, R13, R17, R18, R3, R5, R7, R9",0805,9,10K,
"R11, R14",0805,2,5.1K,
R12,0805,1,5.6K,
"R15, R16",0805,2,75,
R19,0805,1,56,
"R2, R4, R6, R8",0805,4,4.7K,
U1,SOT-223,1,AP2114HA-3.3TRG1,C460314
U2,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,BMP388,C779278
U3,LGA-12_2x2mm_P0.5mm,1,LIS3MDLTR,C478483
U4,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,
U5,TSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x6.7mm,1,AT7456E,C82351
U6,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42688-P,C1850418
Y1,Crystal_HC49-U_Vertical,1,27MHz,
Y2,Crystal_HC49-U_Vertical,1,16MHz,
Y3,Crystal_DS26_D2.0mm_L6.0mm_Horizontal,1,32.768kHz,
