Designator,Mid X,Mid Y,Rotation,Layer
C1,142.0,-158.0,180.0,top
C10,140.5,-94.0,90.0,top
C11,138.5,-94.0,90.0,top
C12,146.902651,-74.0,180.0,top
C13,160.5,-133.5,90.0,top
C14,143.5,-111.5,270.0,top
C15,145.5,-111.5,90.0,top
C16,142.5,-102.5,0.0,top
C17,142.5,-100.5,0.0,top
C18,146.902651,-84.0,180.0,top
C19,152.5,-85.5,90.0,top
C2,142.0,-148.0,180.0,top
C20,149.0,-90.0,180.0,top
C21,136.0,-126.0,90.0,top
C22,136.0,-133.0,90.0,top
C23,157.5,-134.5,0.0,top
C24,136.0,-122.0,90.0,top
C25,160.5,-115.5,90.0,top
C26,142.0,-122.0,270.0,top
C27,153.5,-109.5,0.0,top
C3,159.0,-110.0,0.0,top
C4,142.0,-118.0,90.0,top
C5,145.0,-134.5,0.0,top
C6,145.5,-114.5,0.0,top
C7,145.5,-108.0,90.0,top
C8,150.5,-108.0,90.0,top
C9,159.0,-112.0,0.0,top
D1,157.0,-97.0,180.0,top
D2,157.0,-91.0,180.0,top
D3,157.0,-85.0,180.0,top
D4,157.0,-79.0,180.0,top
D5,147.0,-66.0,180.0,top
D6,140.0,-81.5,0.0,top
J1,153.0,-151.8,180.0,top
J10,167.0,-102.5,0.0,top
J11,167.0,-96.5,0.0,top
J12,167.0,-90.5,0.0,top
J13,167.0,-84.5,0.0,top
J14,127.0,-84.5,0.0,top
J15,127.0,-71.5,0.0,top
J16,127.0,-90.5,0.0,top
J17,128.25,-126.5,0.0,top
J18,163.25,-65.5,0.0,top
J19,163.25,-71.5,0.0,top
J2,167.0,-157.5,0.0,top
J20,130.75,-65.5,0.0,top
J21,128.25,-151.5,0.0,top
J22,128.25,-157.5,0.0,top
J23,128.25,-132.5,0.0,top
J24,128.25,-138.5,0.0,top
J25,125.75,-118.0,270.0,top
J26,132.0,-104.0,270.0,top
J27,148.25,-138.5,0.0,top
J3,167.0,-151.5,0.0,top
J4,167.0,-138.5,0.0,top
J5,167.0,-132.5,0.0,top
J6,167.0,-126.5,0.0,top
J7,167.0,-120.5,0.0,top
J8,167.0,-114.5,0.0,top
J9,167.0,-108.5,0.0,top
R1,134.5,-90.5,0.0,top
R10,140.0,-86.5,0.0,top
R11,132.0,-115.0,0.0,top
R12,135.5,-117.0,0.0,top
R13,135.5,-115.0,0.0,top
R14,132.0,-121.0,0.0,top
R15,140.0,-84.0,0.0,top
R16,152.5,-80.5,90.0,top
R17,137.0,-71.0,0.0,top
R18,137.0,-73.0,0.0,top
R19,136.5,-81.5,180.0,top
R2,139.0875,-110.0,0.0,top
R3,140.0,-88.5,0.0,top
R4,139.0875,-112.0,0.0,top
R5,140.0,-90.5,0.0,top
R6,159.0,-106.0,0.0,top
R7,134.5,-86.5,0.0,top
R8,159.0,-104.0,0.0,top
R9,134.5,-88.5,0.0,top
U1,141.0,-153.0,0.0,top
U2,148.0125,-108.0,90.0,top
U3,148.0125,-112.0,270.0,top
U4,152.0,-124.5,270.0,top
U5,147.0,-95.0,0.0,top
U6,153.6625,-112.0,180.0,top
Y1,150.56,-103.0,180.0,top
Y2,140.0,-129.5,90.0,top
Y3,139.05,-122.505,180.0,top
